state,prior_margin_dem,polling_margin_used,posterior_margin_dem,prior_sd,polling_sd,posterior_sd,bayesian_prior_weight,bayesian_polling_weight,poll_count,total_poll_weight,avg_poll_age_days
Georgia,0.906821277672205,0.9068288682603952,0.9068269214783818,6.465555555555555,3.7973310903899877,3.2743627807388136,0.25647314341544103,0.743526856584559,2.0,1.1920935525043057,15.080729907171778
Michigan,2.006834228009331,2.0,2.003701379987723,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Minnesota,6.006834228009331,6.0,6.003701379987723,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
New Hampshire,3.006834228009331,3.0,3.0037013799877226,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
North Carolina,-1.4144028358954326,-1.41439042173441,-1.4143939450894485,6.465555555555555,4.070178774549639,3.4444934608698006,0.28381741076639133,0.7161825892336087,2.0,0.9080468954138442,19.21585632601615
Maine,0.9979188027535612,1.0,0.9990475043234971,6.465555555555555,5.939471321701691,4.374019682367271,0.45766718081753666,0.5423328191824633,1.0,0.4000400563308192,23.0
Texas,-5.00114267763607,-5.0,-5.00048035233624,6.465555555555555,5.506176505836141,4.192025710157741,0.42037432174796807,0.5796256782520319,1.0,0.6290551336427649,17.0
Ohio,-4.006669112522602,-4.0,-4.0029577958302545,6.465555555555555,5.77199487040243,4.305820503376671,0.44350666152813667,0.5564933384718633,1.0,0.4824640412688702,22.0
Florida,-7.005257431372433,-7.0,-7.002254393578235,6.465555555555555,5.601964058235706,4.233834825589844,0.4288013325396227,0.5711986674603773,1.0,0.5738212488844469,17.0
Iowa,-7.013668456018664,-7.0,-7.007402759975446,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Alaska,-6.013668456018662,-6.0,-6.007402759975445,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Colorado,9.013668456018664,9.0,9.007402759975447,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Delaware,15.027336912037326,15.0,15.014805519950892,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Illinois,14.013668456018664,14.0,14.007402759975449,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Massachusetts,25.027336912037324,25.0,25.014805519950894,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
New Jersey,11.013668456018662,11.0,11.007402759975445,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
New Mexico,9.013668456018664,9.0,9.007402759975447,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Oregon,14.013668456018664,14.0,14.007402759975449,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Rhode Island,22.027336912037327,22.0,22.014805519950894,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Virginia,7.013668456018664,7.0,7.007402759975446,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Alabama,-25.027336912037324,-25.0,-25.014805519950894,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Arkansas,-28.027336912037327,-28.0,-28.014805519950897,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Idaho,-30.027336912037327,-30.0,-30.014805519950897,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Kansas,-16.027336912037327,-16.0,-16.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Kentucky,-20.027336912037324,-20.0,-20.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Louisiana,-18.027336912037324,-18.0,-18.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Mississippi,-17.027336912037324,-17.0,-17.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Montana,-15.027336912037326,-15.0,-15.014805519950892,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Nebraska,-18.027336912037324,-18.0,-18.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Oklahoma,-30.027336912037327,-30.0,-30.014805519950897,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
South Carolina,-12.027336912037324,-12.0,-12.01480551995089,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
South Dakota,-25.027336912037324,-25.0,-25.014805519950894,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Tennessee,-22.027336912037327,-22.0,-22.014805519950894,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
West Virginia,-30.027336912037327,-30.0,-30.014805519950897,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
Wyoming,-35.02733691203733,-35.0,-35.0148055199509,6.465555555555555,7.027777777777777,4.758202841602318,0.5415944540727903,0.4584055459272097,0.0,0.0,999.0
