state,dem_candidate,gop_candidate,current_holder,polling_margin_dem,fundamentals_margin_dem,elasticity,dem_win_counts_for_seat_change,race_tier,notes,tier_error_multiplier,polling_active,candidate_status_as_of,poll_count,latest_poll_end_date,avg_poll_age_days,bayesian_polling_weight,pre_bayes_model_margin_dem,bayesian_model_margin_dem,bayesian_posterior_sd
Georgia,Jon Ossoff,Mike Collins / Derek Dooley runoff,D,0.9068288682603952,0.9068269214783818,1.1,1,Competitive,Democratic-held; GOP runoff after May 2026 primary.,1.0,True,2026-05-23,2.0,2026-05-11,15.080729907171778,0.743526856584559,0.906821277672205,0.9068269214783818,3.2743627807388136
Michigan,Democratic nominee TBD,Republican nominee TBD,D-open,2.0,2.003701379987723,1.05,1,Competitive,Open Democratic-held seat; Gary Peters retiring.,1.0,True,2026-05-23,,,,0.4584055459272097,2.006834228009331,2.003701379987723,4.758202841602318
Minnesota,Peggy Flanagan / Angie Craig primary,Michele Tafoya / Royce White / Tom Weiler / Adam Schwarze primary,D-open,6.0,6.003701379987723,0.9,1,Likely,Open Democratic-held seat; Tina Smith retiring.,0.85,True,2026-05-23,,,,0.4584055459272097,6.006834228009331,6.003701379987723,4.758202841602318
New Hampshire,Chris Pappas / Karishma Manzur / Jared Sullivan primary,Scott Brown / John E. Sununu / Daniel Innis primary,D-open,3.0,3.0037013799877226,1.05,1,Competitive,Open Democratic-held seat; Shaheen retiring.,1.0,True,2026-05-23,,,,0.4584055459272097,3.006834228009331,3.0037013799877226,4.758202841602318
North Carolina,Roy Cooper / Democratic primary,Michael Whatley / Don Brown / Republican primary,R-open,-1.41439042173441,-1.4143939450894485,1.05,1,Competitive,Open Republican-held seat; Tillis retiring; Cooper and Whatley are major candidates.,1.0,True,2026-05-23,2.0,2026-05-09,19.21585632601615,0.7161825892336087,-1.4144028358954326,-1.4143939450894485,3.4444934608698006
Maine,Graham Platner / David Costello primary,Susan Collins,R,1.0,0.9990475043234971,1.15,1,Competitive,Republican-held; Collins running; Democratic field includes Platner and Costello.,1.0,True,2026-05-23,1.0,2026-04-29,23.0,0.5423328191824633,0.9979188027535612,0.9990475043234971,4.374019682367271
Texas,James Talarico,John Cornyn / Ken Paxton runoff,R,-5.0,-5.00048035233624,0.75,1,Likely,Republican-held; Talarico won Democratic primary; Cornyn and Paxton in May 26 GOP runoff.,0.85,True,2026-05-23,1.0,2026-05-05,17.0,0.5796256782520319,-5.00114267763607,-5.00048035233624,4.192025710157741
Ohio,Sherrod Brown,Jon Husted,R-appointed,-4.0,-4.0029577958302545,0.8,1,Competitive,Special election; Husted appointed/incumbent; Brown Democratic nominee.,1.0,True,2026-05-23,1.0,2026-04-30,22.0,0.5564933384718633,-4.006669112522602,-4.0029577958302545,4.305820503376671
Florida,Angie Nixon / Alex Vindman primary,Ashley Moody,R-appointed,-7.0,-7.002254393578235,0.7,1,Likely,Special election; Moody appointed/incumbent; Democratic field includes Nixon and Vindman.,0.85,True,2026-05-23,1.0,2026-05-05,17.0,0.5711986674603773,-7.005257431372433,-7.002254393578235,4.233834825589844
Iowa,Jackie Norris / Nathan Sage / J.D. Scholten / Zach Wahls primary,Jim Carlin / Joshua Smith / GOP field,R-open,-7.0,-7.007402759975446,0.75,1,Likely,Open Republican-held seat; Joni Ernst not seeking reelection per current race summaries.,0.85,True,2026-05-23,,,,0.4584055459272097,-7.013668456018664,-7.007402759975446,4.758202841602318
