simulation,dem_seats,dem_control,national_error
1,51.0,1,2.0032112469781347
2,54.0,1,3.8061489887437165
3,55.0,1,7.20545650476052
4,53.0,1,3.5206139073621263
5,52.0,1,2.224982082994682
6,49.0,0,-3.6954614541874435
7,52.0,1,2.124303190419215
8,54.0,1,4.5988526540631325
9,51.0,1,-1.2316004734946988
10,53.0,1,2.5552355869549785
11,44.0,0,-11.695085716819095
12,52.0,1,2.693306753974143
13,53.0,1,3.138366755484992
14,50.0,0,-2.7858801979616286
15,52.0,1,1.159234633236048
16,50.0,0,0.8346620864936936
17,48.0,0,-7.710664001614569
18,53.0,1,1.7136476912784357
19,49.0,0,-1.8264670055924415
20,49.0,0,-4.585354901607196
21,53.0,1,2.808991172423382
22,48.0,0,-4.79519916953348
23,49.0,0,-3.427400119858865
24,54.0,1,3.6846714404106846
25,46.0,0,-9.007366570775666
26,52.0,1,1.1301793605655375
27,50.0,0,-3.872181498307531
28,55.0,1,9.002267158195666
29,38.0,0,-17.007436290078985
30,53.0,1,6.25309681112316
31,51.0,1,1.7079016743834823
32,49.0,0,-0.5268682199780321
33,47.0,0,-7.411892994485968
34,49.0,0,-3.8045069330348102
35,54.0,1,5.625715141174424
36,54.0,1,4.321131860649368
37,51.0,1,1.3284336118574216
38,50.0,0,-0.9270820121045372
39,49.0,0,-2.1934857765658804
40,54.0,1,4.712911387938096
41,54.0,1,4.232656597628806
42,55.0,1,6.617147884129919
43,53.0,1,1.2830554955459141
44,49.0,0,-2.2399722367682924
45,50.0,0,-1.1992163932755735
46,49.0,0,-2.957712021881124
47,54.0,1,6.198737128173929
48,50.0,0,-2.4788462503249264
49,53.0,1,2.3386885806916964
50,44.0,0,-9.36711787284538
51,50.0,0,-0.812560450240909
52,53.0,1,3.5595012950972094
53,42.0,0,-11.802444988116477
54,54.0,1,2.19518667508345
55,54.0,1,3.8636439967586123
56,49.0,0,-3.1850958092975086
57,49.0,0,-3.2956158516586616
58,52.0,1,2.7091920317468015
59,49.0,0,-2.790678769801574
60,53.0,1,2.1812673080746596
61,51.0,1,0.5063480622752777
62,49.0,0,-0.7879983737975687
63,52.0,1,2.475786295890549
64,51.0,1,2.8123063092230325
65,49.0,0,-1.082698053799605
66,54.0,1,3.5112265669522036
67,49.0,0,-4.595355216991144
68,50.0,0,-0.7926520444711519
69,50.0,0,-1.8113537456117774
70,52.0,1,3.6362923254534825
71,53.0,1,2.2785238528564595
72,54.0,1,3.3967156393700226
73,49.0,0,-2.737869212761085
74,53.0,1,4.510084019503748
75,50.0,0,-0.9642006580161547
76,53.0,1,0.40548586749140947
77,54.0,1,5.734039994759442
78,51.0,1,0.9939471170109611
79,52.0,1,0.7453616802005134
80,48.0,0,-5.6521387105137135
81,48.0,0,-6.019546581103058
82,52.0,1,3.299736517060147
83,50.0,0,-0.40196081989062915
84,47.0,0,-8.648784141573328
85,50.0,0,0.351205589912714
86,51.0,1,-1.04385315629493
87,49.0,0,-6.550120821409183
88,49.0,0,-2.332340926838228
89,55.0,1,7.03849862425587
90,47.0,0,-5.667789161701593
91,46.0,0,-10.513937194818585
92,49.0,0,-2.381199857009082
93,50.0,0,-1.653334949657537
94,49.0,0,1.145323699833692
95,51.0,1,-0.8384166073510636
96,52.0,1,2.687647719424398
97,47.0,0,-7.256809862775628
98,49.0,0,-3.373013294952672
